ID парковки,Координаты,Адресный ориентир,Кол-во дуг,Решение по инспекции,,Категория,Показывать
679,"55.747090, 37.636835","Раушская набережная, 28",1,Замена на алюминиевую дугу,,,
680,"55.734333, 37.642512","Садовническая улица, 84с7",1,Уточнение не требуется,,,
681,"55.734620, 37.641653","Садовническая набережная, 79",1,Уточнение не требуется,,,
682,"55.735868, 37.640908","Садовническая набережная, 75 (1)",1,Уточнение не требуется,,,
684,"55.740045, 37.639255","Садовническая набережная, 55",1,Уточнение не требуется,,,
685,"55.742338, 37.639241","Садовническая улица, 58с1",1,Уточнение не требуется,,,
686,"55.744100, 37.636247","Садовническая улица, 44с4",1,Уточнение не требуется,,,
687,"55.748428, 37.631570","Раушская набережная, 12",1,Замена на алюминиевую дугу,,,
688,"55.747675, 37.634782","2-й Раушский переулок, 2",1,Монтаж старой точки,,,
690,"55.746245, 37.638357","Космодамианская набережная, 2",1,Уточнение не требуется,,,
691,"55.743620, 37.641602","Космодамианская набережная, 22",1,Уточнение не требуется,,,
692,"55.736072, 37.645282","Космодамианская набережная, 46-50с1",1,Уточнение не требуется,,,
696,"55.744693, 37.626850","Пятницкая улица, 4/2с9",1,Замена на алюминиевую дугу,,,
697,"55.739128, 37.628525","Пятницкая улица, 33-35с2",1,Уточнение не требуется,,,
699,"55.735106, 37.627804","Пятницкая улица, 48с1",1,Уточнение не требуется,,,
706,"55.752780, 37.582892","Новый Арбат, 30/9",1,Уточнение не требуется,,,
708,"55.771607, 37.599098","Оружейный переулок, 11",1,Уточнение не требуется,,,
709,"55.772639, 37.602292","Оружейный переулок, 25с1В",1,Уточнение не требуется,,,
710,"55.739343, 37.629976","Новокузнецкая улица, 7/11с1",1,Уточнение не требуется,,,
711,"55.739721, 37.629748","Новокузнецкая улица, 4/12с2",1,Уточнение не требуется,,,
712,"55.741678, 37.629697","Пятницкая улица, 25с1",1,Уточнение не требуется,,,
715,"55.738641, 37.633992","Большая Татарская улица, 30",1,Уточнение не требуется,,,
716,"55.746186, 37.622049","Болотная улица, 14с1",1,Замена на алюминиевую дугу,,,
718,"55.730242, 37.631107","Валовая улица, 21к125",1,Уточнение не требуется,,,
719,"55.729713, 37.626092","Валовая улица, 35",1,Уточнение не требуется,,,
720,"55.729358, 37.623150","улица Коровий Вал, 1",1,Уточнение не требуется,,,
721,"55.729044, 37.618737","улица Коровий Вал, 9",1,Уточнение не требуется,,,
722,"55.736828, 37.589418","Зубовский бульвар, 27с1",1,Уточнение не требуется,,,
723,"55.738553, 37.585422","Смоленский бульвар, 1/2",1,Замена на алюминиевую дугу,,,
724,"55.744042, 37.583113","Смоленская-Сенная площадь, 23/25",1,Замена на алюминиевую дугу,,,
725,"55.756617, 37.583547","Новинский бульвар, 25-27с7",1,Уточнение не требуется,,,
732,"55.763680, 37.654940","улица Покровка, 47",1,Замена на алюминиевую дугу,,,
737,"55.773882, 37.617578","Садовая-Самотёчная улица, 13с1",1,Уточнение не требуется,,,
739,"55.773972, 37.624928","Садовая-Сухаревская улица, 13/15",1,Уточнение не требуется,,,
741,"55.769853, 37.643603","Садовая-Спасская улица, 18с1",1,Уточнение не требуется,,,
742,"55.770845, 37.643905","Академика Сахарова, 11",1,Монтаж старой точки,,,
743,"55.764048, 37.656738","Земляной Вал, 1/4с2",1,Замена на алюминиевую дугу,,,
744,"55.761962, 37.657777","Земляной Вал, 9",1,Замена на алюминиевую дугу,,,
745,"55.760443, 37.658177","Земляной Вал, 21/2с1",1,Замена на алюминиевую дугу,,,
746,"55.754978, 37.657427","Земляной Вал, 39/1с1",1,Замена на алюминиевую дугу,,,
748,"55.742458, 37.652848","Таганская площадь, 1",1,Замена на алюминиевую дугу,,,
749,"55.742983, 37.652060","Верхняя Радищевская улица, 20",1,Замена на алюминиевую дугу,,,
750,"55.743945, 37.650175","Верхняя Радищевская улица, 14",1,Замена на алюминиевую дугу,,,
751,"55.747928, 37.646090","Остановка НГПТ ""Кинотеатр Иллюзион""",1,Монтаж старой точки,,,
753,"55.773818, 37.615327","Садовая-Самотёчная улица, 5",1,Уточнение не требуется,,,
757,"55.731281, 37.635889","Зацепский Вал, 16",1,Замена на алюминиевую дугу,,,
758,"55.732273, 37.635399","Новокузнецкая улица, 39",1,Замена на алюминиевую дугу,,,
759,"55.744345, 37.614877","улица Серафимовича, 5/16",1,Замена на алюминиевую дугу,,,
761,"55.744507, 37.634310","Овчинниковская набережная, 18/1с4",1,Уточнение не требуется,,,
766,"55.711813, 37.439182","Верейская улица, 25",1,Монтаж старой точки,,,
770,"55.649180, 37.566264","Балаклавский проспект, 56к1",1,Уточнение не требуется,,,
773,"55.756855, 37.603933","Большая Никитская улица, 18",1,Уточнение не требуется,,,
776,"55.733122, 37.640775","Зацепский Вал, 4с2",1,Уточнение не требуется,,,
785,"55.764360, 37.619738","Неглинная улица, 14с1А",1,Монтаж старой точки,,,
786,"55.763297, 37.619375","Неглинная улица, 12кБ",1,Замена на алюминиевую дугу,,,
787,"55.760926, 37.622157","Пушечная улица, 5",1,Замена на алюминиевую дугу,,,
790,"55.742510, 37.653855","Таганская площадь, 1",1,Монтаж старой точки,,,
794,"55.6426, 37.4806","Ленинский проспект, 131А",1,Уточнение не требуется,,,
795,"55.6501, 37.5081","улица Миклухо-Маклая, 10соор5",1,Уточнение не требуется,,,
799,"55.6614, 37.5971","Одесская улица, 9к1",1,Монтаж старой точки,,,
800,"55.6347, 37.5199",Станция метро Коньково (вых. 8),1,Уточнение не требуется,,,
804,"55.6473, 37.6494","улица Москворечье, 11",1,Уточнение не требуется,,,
806,"55.8321, 37.4719","Береговая улица, 8",1,Монтаж старой точки,,,
812,"55.8439, 37.4471","улица Фабрициуса, 18",1,Уточнение не требуется,,,
818,"55.7885, 37.7461",Станция метро Измайлово (вых. 1),1,Уточнение не требуется,,,
820,"55.7140, 37.5989","улица Стасовой, 12",1,Замена на алюминиевую дугу,,,
821,"55.6669, 37.5267","Воронцовский парк, 2к1с1",1,Уточнение не требуется,,,
822,"55.6944, 37.5518","Ленинский проспект, 62/1",1,Уточнение не требуется,,,
826,"55.7927, 37.6074","улица Сущёвский Вал, 26",1,Монтаж старой точки,,,
828,"55.6940, 37.5570","Ленинский проспект, 63/2",1,Уточнение не требуется,,,
829,"55.792364, 37.600822","улица Сущёвский Вал, 14/22к7",1,Уточнение не требуется,,,
833,"55.7011, 37.5041","Мичуринский проспект, 22к1с2",1,Уточнение не требуется,,,
835,"55.8260, 37.5715","Дмитровское шоссе, 25с4",1,Монтаж старой точки,,,
836,"55.7927, 37.6177","Остановка НГПТ ""Метро Марьина Роща""",1,Замена на алюминиевую дугу,,,
842,"55.7515, 37.4097","Остановка НГПТ ""Рубежный проезд""",1,Уточнение не требуется,,,
843,"55.8801, 37.5955","Бибиревская улица, 9",1,Уточнение не требуется,,,
844,"55.6998, 37.5655","Ленинский проспект, 50А",1,Уточнение не требуется,,,
845,"55.699827, 37.566533","Остановка НГПТ ""Улица Ляпунова""",1,Уточнение не требуется,,,
853,"55.6021, 37.5525",Станция метро Новоясеневская (вых. 3),1,Уточнение не требуется,,,
854,"55.8500, 37.4250","Туристская улица, 8",1,Монтаж старой точки,,,
855,"55.8596, 37.4501","улица Свободы, 71",1,Уточнение не требуется,,,
857,"55.7658, 37.4071","Остановка НГПТ ""Крылатское""",1,Монтаж старой точки,,,
858,"(55.7564936, 37.4173800)",Крылатские холмы 29,1,Уточнение не требуется,,,
859,"55.7596, 37.4132","Осенний бульвар, 12к4",1,Уточнение не требуется,,,
862,"55.7526, 37.4135","Рублёвское шоссе, 44к2",1,Уточнение не требуется,,,
863,"55.7431, 37.4204","Рублёвское шоссе, 101",1,Уточнение не требуется,,,
866,"55.743138, 37.427221","Рублевское шоссе, 24",1,Уточнение не требуется,,,
871,"55.9011, 37.5525","Псковская улица, 2А",1,Уточнение не требуется,,,
873,"55.8246, 37.5077","Остановка НГПТ ""Старопетровский проезд""",1,Покраска,,,
882,"55.8791, 37.5249","Ангарская улица, 39",1,Монтаж старой точки,,,
883,"55.8772, 37.5390","Дмитровское шоссе, 107Ак5",1,Монтаж старой точки,,,
886,"55.7805, 37.5225","Хорошёвское шоссе, 76А",1,Уточнение не требуется,,,
892,"55.7902, 37.5241","Ходынский бульвар, 20А",1,Монтаж старой точки,,,
893,"55.7879, 37.5122","Остановка НГПТ ""Центральный дом культуры ВОС""",1,Уточнение не требуется,,,
894,"55.7843, 37.5141","Остановка НГПТ ""Улица Куусинена, 13""",1,Уточнение не требуется,,,
895,"55.7813, 37.5159","улица Куусинена, 6к2",1,Уточнение не требуется,,,
896,"55.7779, 37.5124","улица Зорге, 1с2",1,Уточнение не требуется,,,
898,"55.7907, 37.5108","Остановка НГПТ ""Международный центр научно-технической информации""",1,Уточнение не требуется,,,
900,"55.650274, 37.508296","улица Миклухо-Маклая, 21к3",1,Уточнение не требуется,,,
903,"55.6778, 37.5044",Станция метро Проспект Вернадского (вых. 9),1,Замена на алюминиевую дугу,,,
904,"55.671265, 37.493577",Улица Лобачевского,1,Уточнение не требуется,,,
908,"55.6856, 37.5235","проспект Вернадского, 21к1",1,Уточнение не требуется,,,
909,"55.6703, 37.4474","Озёрная улица, 33А/8",1,Уточнение не требуется,,,
910,"55.7904, 37.7917","Нижняя Первомайская улица, 2",1,Уточнение не требуется,,,
911,"55.7897, 37.7895","Заводской проезд, 25",1,Уточнение не требуется,,,
918,"55.7932, 37.7967","Первомайская улица, 69",1,Уточнение не требуется,,,
923,"55.8201, 37.7849","улица Бирюсинка, 1/18с34",1,Монтаж старой точки,,,
924,"55.8244, 37.8252","Хабаровская улица, 20",1,Монтаж старой точки,,,
926,"55.8198, 37.6210","Аргуновская улица, 18",1,Уточнение не требуется,,,
927,"55.8130, 37.6205","Аргуновская улица, 2к2",1,Уточнение не требуется,,,
930,"55.7411, 37.5094","Промышленный проезд, 5с2",1,Замена на алюминиевую дугу,,,
931,"55.7561, 37.5107","Береговой проезд, 5Ак",1,Уточнение не требуется,,,
933,"55.750394, 37.505223","Большая Филёвская улица, 12",1,Уточнение не требуется,,,
934,"55.750773, 37.506527","Большая Филёвская улица, 10",1,Уточнение не требуется,,,
935,"55.750002, 37.503845","Большая Филёвская улица, 14к1",1,Уточнение не требуется,,,
936,"55.7489, 37.5002","Остановка НГПТ ""Детский парк Фили""",1,Уточнение не требуется,,,
942,"55.7916, 37.5330","Ленинградский проспект, 45Гк54",2,Уточнение не требуется,,,
946,"55.7620, 37.4128","улица Крылатские Холмы, 45к1",1,Монтаж старой точки,,,
958,"55.7376, 37.7011","улица Рогожский Посёлок, 3",1,Монтаж старой точки,,,
960,"55.7189, 37.6631","Симоновский Вал, 26к1",1,Уточнение не требуется,,,
968,"55.8248, 37.5796","улица Яблочкова, 33с2",1,Монтаж старой точки,,,
971,"55.774383, 37.482806","улица Мнёвники, 16",1,Уточнение не требуется,,,
972,"55.6965, 37.4686",Станция метро Аминьевская (вых. 1),1,Замена на алюминиевую дугу,,,
975,"55.7028, 37.4711","Матвеевская улица, 16к1",1,Уточнение не требуется,,,
976,"55.7212, 37.4706","Давыдковская улица, 12",1,Монтаж старой точки,,,
980,"55.7891, 37.4868","Народного Ополчения, 36",1,Монтаж старой точки,,,
982,"55.6244, 37.5116","Профсоюзная улица, 123с3",1,Уточнение не требуется,,,
987,"55.632993, 37.589929","Остановка НГПТ ""Дом № 8""",1,Уточнение не требуется,,,
995,"55.6908, 37.5913","улица Шверника, 17",1,Уточнение не требуется,,,
996,"55.6888, 37.5847","улица Винокурова, 6",1,Уточнение не требуется,,,
997,"55.685450, 37.582466","улица Дмитрия Ульянова, 27",1,Монтаж старой точки,,,
1003,"55.7075, 37.5986","5-й Донской проезд, 15",1,Уточнение не требуется,,,
1011,"55.7346, 37.8250","Вешняковская улица, 12Г",1,Уточнение не требуется,,,
1012,"55.7346, 37.8211","Вешняковская улица, 12Ж",1,Уточнение не требуется,,,
1013,"55.7326, 37.8198","Остановка НГПТ ""Аллея Жемчуговой, 1""",1,Уточнение не требуется,,,
1019,"55.7107, 37.4450","Верейская улица, 17",1,Уточнение не требуется,,,
1021,"55.7258, 37.4619","Славянский бульвар, 15",1,Уточнение не требуется,,,
1023,"55.8329, 37.5938","Ботаническая улица, 29к2",1,Монтаж старой точки,,,
1024,"55.8213, 37.5928","улица Фонвизина, 18",1,Уточнение не требуется,,,
1025,"55.8162, 37.5979","Огородный проезд, 18с3",1,Уточнение не требуется,,,
1026,"55.8115, 37.6053","Огородный проезд, 9",1,Замена на алюминиевую дугу,,,
1029,"55.6974, 37.5422","Остановка НГПТ ""Детский музыкальный театр""",1,Уточнение не требуется,,,
1030,"55.6629, 37.5536","улица Намёткина, 11",2,Уточнение не требуется,,,
1033,"55.7428, 37.5499","Студенческая улица, 20с1",1,Уточнение не требуется,,,
1034,"55.7386, 37.5466","Киевская улица, 20",1,Уточнение не требуется,,,
1041,"55.7067, 37.6174","Малая Тульская улица, 22",2,Уточнение не требуется,,,
1042,"55.7290, 37.6181","улица Коровий Вал, 11с1",1,Уточнение не требуется,,,
1043,"55.728267, 37.614646","Мытная улица, 1с1",2,Уточнение не требуется,,,
1048,"55.7544, 37.6565","улица Земляной Вал, 42/20",2,Замена на алюминиевую дугу,,,
1053,"55.7233, 37.6631","улица Симоновский Вал, 16",2,Уточнение не требуется,,,
1054,"55.7444, 37.5473","Кутузовский проспект, 23к1",2,Уточнение не требуется,,,
1055,"55.7462, 37.5566","Большая Дорогомиловская улица, 7",2,Уточнение не требуется,,,
1057,"55.716597, 37.593952","Ленинский проспект, 27с3",2,Замена на алюминиевую дугу,,,
1059,"55.7381, 37.6150","улица Большая Якиманка, 22",2,Уточнение не требуется,,,
1060,"55.7342, 37.6125","улица Большая Якиманка, 32",2,Уточнение не требуется,,,
1061,"55.7393, 37.5852","Смоленский бульвар, 1/2",2,Замена на алюминиевую дугу,,,
1062,"55.7402, 37.5727","7-й Ростовский переулок, 11",2,Замена на алюминиевую дугу,,,
1063,"55.743609, 37.581606","Ружейный переулок, 4с1",2,Уточнение не требуется,,,
1065,"55.761342, 37.596029","Малая Бронная улица, 15",2,Уточнение не требуется,,,
1066,"55.761161, 37.598644","Большая Бронная улица, 7",2,Уточнение не требуется,,,
1067,"55.761686, 37.601580","Тверской бульвар, 19",2,Уточнение не требуется,,,
1068,"55.762711, 37.599294","Богословский переулок, 8/15с1",2,Уточнение не требуется,,,
1071,"55.6745, 37.7625","Совхозная улица, 10Б",1,Замена на алюминиевую дугу,,,
1080,"55.744117, 37.627930","Пятницкая улица, 11/23",2,Замена на алюминиевую дугу,,,
1081,"55.742507, 37.633265","Руновский переулок, 10с1",1,Уточнение не требуется,,,
1082,"55.739542, 37.630900","Старый Толмачёвский переулок, 10",1,Уточнение не требуется,,,
1083,"55.736264, 37.637803","Татарская улица, 1",2,Замена на алюминиевую дугу,,,
1084,"55.738689, 37.628396","Пятницкая улица, 37",1,Уточнение не требуется,,,
1085,"55.737784, 37.628209","Пятницкая улица, 41с1",2,Уточнение не требуется,,,
1086,"55.734903, 37.631552","1-й Новокузнецкий переулок, 11",2,Монтаж старой точки,,,
1087,"55.739341, 37.623086","улица Большая Ордынка, 24",1,Уточнение не требуется,,,
1092,"55.7768, 37.5065","Остановка НГПТ ""МЦК Хорошёво""",2,Уточнение не требуется,,,
1095,"55.736855, 37.640192","Садовническая набережная, 75",1,Уточнение не требуется,,,
1096,"55.737726, 37.641763","Садовническая улица, 80",2,Уточнение не требуется,,,
1097,"55.740202, 37.640666","Садовническая улица, 66",1,Уточнение не требуется,,,
1098,"55.744757, 37.637501","Садовническая улица, 35",2,Уточнение не требуется,,,
1099,"55.746974, 37.630849","Садовническая улица, 20с1",2,Замена на алюминиевую дугу,,,
1101,"55.8262, 37.6217","Хованская улица, 6",2,Уточнение не требуется,,,
1102,"55.8233, 37.5955","улица Академика Королёва, 32",2,Уточнение не требуется,,,
1109,"55.6789, 37.5601","Нахимовский проспект, 61",2,Уточнение не требуется,,,
1111,"55.6511, 37.5983","Азовская улица, 24к2",2,Уточнение не требуется,,,
1119,"55.5934, 37.6121","Россошанская улица, 4к1",2,Уточнение не требуется,,,
1125,"55.735336, 37.593844",Станция метро Парк Культуры (вых. 1),2,Уточнение не требуется,,,
1127,"55.730985, 37.573458","Малая Пироговская улица, 3",1,Уточнение не требуется,,,
1130,"55.733207, 37.660066","Лавров переулок, 5",2,Уточнение не требуется,,,
1131,"55.7357, 37.6565","улица Большие Каменщики, 21/8",2,Замена на алюминиевую дугу,,,
1133,"55.725985, 37.674167","улица Мельникова, 3к3",2,Уточнение не требуется,,,
1134,"55.7288, 37.6585","Крутицкая улица, 9с1",1,Уточнение не требуется,,,
1137,"55.7058, 37.6681","улица Сайкина, 15/7",2,Уточнение не требуется,,,
1139,"55.7486, 37.6826","улица Золоторожский Вал, 11с1",1,Монтаж старой точки,,,
1144,"55.7465, 37.6709","улица Сергия Радонежского, 2",2,Монтаж старой точки,,,
1147,"55.7698, 37.6632","Новая Басманная улица, 25/2",2,Замена на алюминиевую дугу,,,
1154,"55.7418, 37.5551","улица Можайский Вал, 12",2,Уточнение не требуется,,,
1155,"55.7427, 37.5432","Кутузовский проспект, 31",2,Уточнение не требуется,,,
1156,"55.845915, 37.638654",Станция метро Ботанический сад (вых. 2),1,Уточнение не требуется,,,
1158,"55.743386, 37.418531","Ярцевская улица, 31",2,Замена на алюминиевую дугу,,,
1161,"55.823911, 37.625995","улица Академика Королёва, 4к2",2,Монтаж старой точки,,,
1164,"55.705316, 37.663078","5-я Кожуховская улица, 4",2,Монтаж старой точки,,,
1165,"55.684928, 37.539202","Ленинский проспект, 72/2",2,Уточнение не требуется,,,
1175,"55.710456, 37.620160","Большая Тульская улица, 2",2,Уточнение не требуется,,,
1179,"55.769057, 37.612875","Остановка НГПТ ""Петровские Ворота""",1,Уточнение не требуется,,,
1182,"55.771780, 37.625071","Трубная улица, 27с1",1,Замена на алюминиевую дугу,,,
1190,"55.720287, 37.573975","Комсомольский проспект, 45",1,Уточнение не требуется,,,
1192,"55.652180, 37.598497","Азовская улица, 23",1,Уточнение не требуется,,,
1193,"55.634461, 37.593334","микрорайон Северное Чертаново, к810",2,Уточнение не требуется,,,
1195,"55.666613, 37.514315","Ленинский проспект, 101соор1",2,Уточнение не требуется,,,
1197,"55.681805, 37.491693","улица Удальцова, 85А",2,Уточнение не требуется,,,
1216,"55.623344, 37.674804","Остановка НГПТ ""Каспийская улица, 26""",1,Уточнение не требуется,,,
1217,"(55.6629511, 37.5819211)",Болотниковская 52,1,Уточнение не требуется,,,
1219,"55.6773, 37.4879","Остановка НГПТ ""Улица Коштоянца, 33""",2,Уточнение не требуется,,,
1220,"55.6970, 37.4711","улица Лобачевского, 120к1",2,Уточнение не требуется,,,
1222,"55.651072575710714, 37.554386761039495","улица Обручева, 35к1",2,Уточнение не требуется,,,
1223,"55.65022080671042, 37.56014001555741","улица Обручева, 55А",2,Уточнение не требуется,,,
1224,"55.65615842118859, 37.5717450119555",Станция метро Зюзино (вых. 4),2,Уточнение не требуется,,,
1227,"55.733884, 37.422777","Молодогвардейская улица, 18",2,Уточнение не требуется,,,
1231,"55.719600, 37.451400","Аминьевское шоссе, 32",2,Уточнение не требуется,,,
1233,"55.702900, 37.462800","Остановка НГПТ ""Матвеевская улица, 26""",2,Уточнение не требуется,,,
1236,"55.610661, 37.526856","Литовский бульвар, 6к1",1,Уточнение не требуется,,,
1244,"55.765076, 37.822715","Остановка НГПТ ""Терлецкий парк""",1,Уточнение не требуется,,,
1247,"55.778182, 37.831813","Остановка НГПТ ""Челябинская улица, 21""",2,Монтаж старой точки,,,
1248,"55.779482, 37.837179","Челябинская улица, 24к3А",1,Монтаж старой точки,,,
1251,"(55.6510189, 37.5311546)",Профсоюзная 88/20,2,Уточнение не требуется,,,
1252,"55.783582, 37.714548","Семеновский переулок, 11",1,Уточнение не требуется,,,
1254,"(55.7928256, 37.7128207)",Девятая рота 27,1,Уточнение не требуется,,,
1256,"55.796306, 37.713607",Станция метро Преображенская площадь (вых. 8),1,Уточнение не требуется,,,
1257,"55.67070, 37.65455","улица Садовники, 10",1,Монтаж старой точки,,,
1261,"55.67139, 37.55329","улица Гарибальди, 23",2,Уточнение не требуется,,,
1263,"55.66546, 37.57062","улица Цюрупы, 13",2,Уточнение не требуется,,,
1265,"55.667881, 37.628560","Каширское шоссе, 4к1",2,Замена на алюминиевую дугу,,,
1278,"55.720400, 37.416800","улица Кутузова, 2Г",1,Уточнение не требуется,,,
1280,"55.69968541494226, 37.62998820431869","набережная Марка Шагала, 1к2",1,Уточнение не требуется,,,
1281,"55.696648, 37.633653","улица Архитектора Щусева, 5к2",1,Уточнение не требуется,,,
1285,"55.852562, 37.531690","4-й Лихачёвский переулок, 4с19",1,Монтаж старой точки,,,
1287,"55.883841, 37.604450",Станция метро Бибирево (вых. 5),1,Монтаж старой точки,,,
1290,"55.768937, 37.571012","Малая Грузинская улица, 29с1",2,Уточнение не требуется,,,
1292,"55.693705, 37.667100",Станция метро Технопарк (вых. 8),1,Уточнение не требуется,,,
1295,"55.779207, 37.702051","Большая Почтовая улица, 30с2",2,Монтаж старой точки,,,
1297,"55.777856, 37.693316","улица Фридриха Энгельса, 75с10",2,Уточнение не требуется,,,
1300,"55.735663, 37.677347","Остановка НГПТ ""Улица Талалихина""",1,Монтаж старой точки,,,
1301,"55.738172, 37.570361","Саввинская набережная, 5",1,Замена на алюминиевую дугу,,,
1302,"55.741801, 37.583969","Смоленский бульвар, 15",2,Замена на алюминиевую дугу,,,
1303,"55.716829, 37.579527","Остановка НГПТ ""Фрунзенская набережная""",1,Уточнение не требуется,,,
1305,"55.776345, 37.675657","Бауманская улица, 6с2",2,Уточнение не требуется,,,
1307,"55.633723, 37.657927","Пролетарский проспект, 20к1",2,Уточнение не требуется,,,
1331,"55.757246, 37.740408","шоссе Энтузиастов, 29к4-5",2,Уточнение не требуется,,,
1338,"55.702181, 37.466175","Остановка НГПТ ""Матвеевская улица, 20""",2,Уточнение не требуется,,,
1340,"55.702752, 37.463810","Матвеевская улица, 26 (1)",2,Уточнение не требуется,,,
1352,"55.635233, 37.761057","Ключевая улица, 14к1",2,Монтаж старой точки,,,
1368,"55.792376, 37.616406","улица Сущёвский Вал, 52/17",2,Монтаж старой точки,,,
1372,"55.704493, 37.573735","Остановка НГПТ ""Улица Академика Зелинского""",2,Уточнение не требуется,,,
1373,"55.702982, 37.571084","Ленинский проспект, 40",2,Уточнение не требуется,,,
1376,"55.699553, 37.565002","Ленинский проспект, 52",2,Уточнение не требуется,,,
1381,"55.696629, 37.554274","Университетский проспект, 4",2,Уточнение не требуется,,,
1385,"55.622492, 37.668832","Луганская улица, 9",1,Уточнение не требуется,,,
1389,"55.622343, 37.668030","Луганская улица, 10",2,Уточнение не требуется,,,
1391,"55.627461, 37.657327","Остановка НГПТ ""Бакинская улица""",2,Уточнение не требуется,,,
1397,"55.719457, 37.830954","улица Молдагуловой, 32",2,Уточнение не требуется,,,
1410,"55.632047, 37.668665","Ереванская улица, 3",2,Уточнение не требуется,,,
1411,"55.631211, 37.670044","Кавказский бульвар, 17",2,Монтаж старой точки,,,
1414,"55.667814, 37.514615","Ленинский проспект, 102",2,Уточнение не требуется,,,
1415,"55.666621, 37.513202","Ленинский проспект, 110к1",2,Уточнение не требуется,,,
1418,"55.661057, 37.511423",Улице Обручева,2,Уточнение не требуется,,,
1419,"55.658203, 37.517541","улица Обручева, 22к1",2,Уточнение не требуется,,,
1423,"55.668493, 37.540317","улица Академика Пилюгина, 10",2,Уточнение не требуется,,,
1424,"55.668437, 37.539625","улица Академика Пилюгина, 10",2,Уточнение не требуется,,,
1425,"55.668365, 37.537717","улица Академика Пилюгина, 12к1",2,Уточнение не требуется,,,
1426,"55.668362, 37.532225","улица Академика Пилюгина, 20к1",2,Уточнение не требуется,,,
1427,"55.668324, 37.533367","улица Академика Пилюгина, 18",2,Уточнение не требуется,,,
1428,"55.668888, 37.531563","улица Академика Пилюгина, 20А",2,Уточнение не требуется,,,
1429,"55.666628, 37.542303","улица Архитектора Власова, 47",2,Уточнение не требуется,,,
1431,"55.678651, 37.529286","Остановка НГПТ ""Улица Марии Ульяновой""",2,Уточнение не требуется,,,
1432,"55.656190, 37.496252","Ленинский проспект, 146",2,Уточнение не требуется,,,
1440,"55.654595, 37.491920","Ленинский проспект, 150",2,Уточнение не требуется,,,
1456,"55.636954, 37.759360","Остановка НГПТ ""Братеевский пруд""",1,Монтаж старой точки,,,
1459,"55.638523, 37.758131","улица Борисовские Пруды, 26к2",2,Монтаж старой точки,,,
1461,"55.637534, 37.761119","Паромная улица, 7к1",2,Уточнение не требуется,,,
1468,"55.607757, 37.755833","Гурьевский проезд, 25к1",2,Уточнение не требуется,,,
1469,"55.780711, 37.623334","Остановка НГПТ ""Спорткомплекс Олимпийский""",2,Уточнение не требуется,,,
1471,"55.602376, 37.727576","Остановка НГПТ ""Ясеневая улица, 17""",2,Уточнение не требуется,,,
1477,"55.694797, 37.534262","территория Ленинские Горы, 1с5",2,Уточнение не требуется,,,
1479,"55.698791, 37.527327","территория Ленинские Горы, 1с2",2,Уточнение не требуется,,,
1480,"55.699965, 37.525406","Ломоносовский проспект, 27",2,Уточнение не требуется,,,
1481,"55.701302, 37.522970","территория Ленинские Горы, 1с3",2,Уточнение не требуется,,,
1482,"55.701728, 37.522821","Остановка НГПТ ""Менделеевская улица""",2,Уточнение не требуется,,,
1484,"55.702565, 37.515914","Ломоносовский проспект, 29к2",2,Уточнение не требуется,,,
1485,"55.701987, 37.514260","Ломоносовский проспект, 29к2",2,Монтаж старой точки,,,
1493,"55.629635, 37.741971","улица Мусы Джалиля, 5к1",2,Уточнение не требуется,,,
1494,"55.630161, 37.750299","улица Мусы Джалиля, 5к6",2,Уточнение не требуется,,,
1495,"55.629691, 37.750651","улица Мусы Джалиля, 5к6",1,Уточнение не требуется,,,
1496,"55.732503, 37.382882","Молодогвардейская улица, 65с1",2,Уточнение не требуется,,,
1499,"55.687469, 37.534490","Улица Строителей, 7",2,Уточнение не требуется,,,
1506,"55.716737, 37.819934","Остановка НГПТ ""Метро Выхино""",2,Уточнение не требуется,,,
1507,"55.733964, 37.409469","Молодогвардейская улица, 46к1",2,Уточнение не требуется,,,
1511,"55.732433, 37.383414","Молодогвардейская улица, 65с3",2,Уточнение не требуется,,,
1515,"55.708298, 37.532837","территория Ленинские Горы, 1с79",2,Монтаж старой точки,,,
1516,"55.709674, 37.530525",ленинские горы,2,Монтаж старой точки,,,
1517,"55.711273, 37.527707","Остановка НГПТ ""Университетский проспект""",2,Монтаж старой точки,,,
1518,"55.707557, 37.517784",Станция метро Ломоносовский проспект (вых. 5),1,Уточнение не требуется,,,
1519,"55.692223, 37.499898","Остановка НГПТ ""Школа № 1434""",2,Уточнение не требуется,,,
1520,"55.692096, 37.499728","улица Раменки, 13к1",1,Уточнение не требуется,,,
1531,"55.688564, 37.574749",Станция метро Академическая (вых. 7),2,Уточнение не требуется,,,
1533,"55.708271, 37.577188","улица Косыгина, 2с19",2,Уточнение не требуется,,,
1535,"55.707987, 37.574015","Остановка НГПТ ""Улица Академика Зелинского""",2,Уточнение не требуется,,,
1536,"55.706841, 37.564285","улица Косыгина, 8с2",2,Уточнение не требуется,,,
1540,"55.706466, 37.571338","улица Косыгина, 5",2,Уточнение не требуется,,,
1548,"55.681368, 37.481597","улица Лобачевского, 94к1",1,Уточнение не требуется,,,
1549,"55.756119, 37.648140","Покровский бульвар, 3с1",2,Замена на алюминиевую дугу,,,
1551,"55.756911, 37.647610","Покровский бульвар, 8с1А",2,Замена на алюминиевую дугу,,,
1558,"55.704771, 37.479348","Матвеевская улица, 2",2,Уточнение не требуется,,,
