ID парковки,Координаты,Адресный ориентир,Кол-во дуг,Решение по инспекции,,Категория,Показывать
204,"55.846076, 37.575750","Гостиничный проезд, 8к1",1,Уточнение не требуется,,,
205,"55.802508, 37.635309","проспект Мира, 83",1,Замена на алюминиевую дугу,,,
206,"55.803327, 37.631340","улица Годовикова, 2А",1,Уточнение не требуется,,,
213,"55.839499, 37.493341","Головинское шоссе, 7",1,Уточнение не требуется,,,
216,"55.751334, 37.718947","шоссе Энтузиастов, 26",1,Уточнение не требуется,,,
217,"55.861278, 37.481880","Смольная улица, 26",1,Уточнение не требуется,,,
218,"55.742679, 37.503072","Багратионовский проезд, 7к3",1,Уточнение не требуется,,,
221,"55.808399, 37.494970","Волоколамское шоссе, 13",1,Монтаж старой точки,,,
224,"55.781005, 37.721822","Семёновская площадь, 4",1,Уточнение не требуется,,,
226,"55.782881, 37.722330","Семёновская площадь, 1",1,Уточнение не требуется,,,
232,"55.6265, 37.7421","Остановка НГПТ ""Улица Мусы Джалиля, 10"" (2)",1,Уточнение не требуется,,,
233,"55.6267, 37.7432","Остановка НГПТ ""Улица Мусы Джалиля, 10"" (3)",1,Уточнение не требуется,,,
236,"55.6203, 37.7621","Остановка НГПТ ""Задонский проезд, 40""",1,Уточнение не требуется,,,
242,55.68448782 37.57014777,"улица Кедрова, 9/5",1,Монтаж старой точки,,,
245,"55.73211358, 37.60417928","Остановка НГПТ ""Парк Горького"" (3)",1,Уточнение не требуется,,,
247,"55.732053, 37.604436","Остановка НГПТ ""Парк Горького"" (5)",2,Уточнение не требуется,,,
249,"55.76820135, 37.37363786","Остановка НГПТ ""МКАД"" (1)",1,Уточнение не требуется,,,
250,"55.76389928, 37.38303649","Остановка НГПТ ""Черепково""",1,Уточнение не требуется,,,
265,"55.74539725, 37.55216247","Кутузовский проспект, 19",1,Уточнение не требуется,,,
266,"55.74894726, 37.56226185","Кутузовский проспект, 7/4к1",1,Уточнение не требуется,,,
269,"55.73693801, 37.52332618","площадь Победы, 1кА",1,Замена на алюминиевую дугу,,,
271,"55.7367257, 37.5172354",Станция метро Парк Победы (вых. 1),1,Замена на алюминиевую дугу,,,
272,"55.7374279, 37.520101","площадь Победы, 2к1",1,Уточнение не требуется,,,
273,"55.7324312, 37.6043296","Остановка НГПТ ""Парк Горького"" (6)",1,Уточнение не требуется,,,
274,"55.67760433, 37.52935755","Ленинский проспект, 86",1,Уточнение не требуется,,,
280,"55.67925604, 37.5104557","Остановка НГПТ ""Улица Кравченко""",1,Уточнение не требуется,,,
290,"55.76456117, 37.41332731","улица Крылатские Холмы, 28к1",1,Уточнение не требуется,,,
293,"55.64734233, 37.46911669","Остановка НГПТ ""Тропарёво""",1,Уточнение не требуется,,,
294,"55.65648368, 37.47154437","Остановка НГПТ ""Детский сад""",1,Уточнение не требуется,,,
295,"55.65445323, 37.47098049","Остановка НГПТ ""Тропарёвский пруд""",1,Уточнение не требуется,,,
296,"55.64997685, 37.47681017","Остановка НГПТ ""Академия Генерального штаба""",1,Уточнение не требуется,,,
297,"55.64753738, 37.47654656","проспект Вернадского, 102А",1,Уточнение не требуется,,,
298,"55.65542435, 37.47856018","Остановка НГПТ ""Церковь Архангела Михаила""",1,Уточнение не требуется,,,
300,"55.66525279, 37.46734536","улица Покрышкина, 8с2",1,Уточнение не требуется,,,
303,"55.75312194, 37.41559731","Остановка НГПТ ""Западный холм""",1,Уточнение не требуется,,,
304,"55.75574643, 37.41548386","Остановка НГПТ ""Управа района Крылатское""",1,Уточнение не требуется,,,
305,"55.75865515, 37.42042718","Остановка НГПТ ""Церковь Рождества Богородицы""",1,Уточнение не требуется,,,
306,"55.76001461, 37.42007704","улица Крылатские Холмы, 37",1,Замена на алюминиевую дугу,,,
307,"55.75821972, 37.41387976","Осенний бульвар, 12к6с3",1,Уточнение не требуется,,,
309,"55.75122508, 37.41135742","Рублёвское шоссе, 44к1",1,Уточнение не требуется,,,
311,"55.72615939, 37.44675198","Остановка НГПТ ""МЦД Кунцевская""",1,Уточнение не требуется,,,
315,"55.73376557, 37.45563159","Остановка НГПТ ""Малая Филёвская улица""",1,Уточнение не требуется,,,
316,"55.74114862, 37.48129845","Минская улица, 13к2",1,Уточнение не требуется,,,
320,"55.71655528, 37.40741252","Можайское шоссе, 45Б",1,Замена на алюминиевую дугу,,,
322,"55.722648, 37.388609","Остановка НГПТ ""Улица Горбунова, 9""",1,Монтаж старой точки,,,
325,"55.71794174, 37.39631751","улица Говорова, 8к1",1,Уточнение не требуется,,,
332,"55.68819217, 37.4645186","Остановка НГПТ ""Управа района Очаково-Матвеевское"" (1)",1,Монтаж старой точки,,,
334,"55.68494841, 37.45964094","1-й Очаковский переулок, 1",1,Уточнение не требуется,,,
336,"55.67049324, 37.44972057","Озёрная улица, 33А/7",1,Уточнение не требуется,,,
338,"55.66987103, 37.47732453","улица Академика Анохина, 2к1А",1,Уточнение не требуется,,,
339,"55.6718571, 37.47676063","Остановка НГПТ ""Улица Коштоянца, 47""",1,Уточнение не требуется,,,
340,"55.69631673, 37.42348408","Остановка НГПТ ""Рябиновая улица, 45""",1,Уточнение не требуется,,,
345,"55.70019472, 37.42101904","Остановка НГПТ ""Дизайн-центр"" (2)",1,Уточнение не требуется,,,
349,"55.71951182, 37.48291592","Остановка НГПТ ""Больница № 1""",1,Уточнение не требуется,,,
350,"55.71349691, 37.476360446","Остановка НГПТ ""РЭУ имени Плеханова""",1,Уточнение не требуется,,,
351,"55.71739453, 37.475521188","Остановка НГПТ ""Роддом № 3""",1,Уточнение не требуется,,,
352,"55.720433, 37.478314",нежинская улица,1,Уточнение не требуется,,,
355,"55.71132443, 37.50790117","Остановка НГПТ ""Ломоносовский проспект""",1,Уточнение не требуется,,,
356,"55.70819334, 37.51816559","Остановка НГПТ ""Метро Ломоносовский проспект""",1,Уточнение не требуется,,,
358,"55.70510998, 37.52786046","Остановка НГПТ ""Менделеевская улица""",1,Уточнение не требуется,,,
360,"55.69295138, 37.49370742","улица Раменки, 6к2с2",1,Уточнение не требуется,,,
361,"55.692416, 37.499545","Остановка НГПТ ""Школа № 1434""",1,Уточнение не требуется,,,
362,"55.69615836, 37.49667553",Станция метро Раменки (вых. 2),1,Монтаж старой точки,,,
363,"55.69856706, 37.50092941",Станция метро Раменки (вых. 7),1,Уточнение не требуется,,,
364,"55.67941481, 37.48210964","Остановка НГПТ ""Храм Александра Невского""",1,Уточнение не требуется,,,
366,"55.67747421, 37.48883681","Остановка НГПТ ""Улица Коштоянца, 33""",1,Уточнение не требуется,,,
367,"55.67900125, 37.49119445","Остановка НГПТ ""Улица Коштоянца, 1""",1,Уточнение не требуется,,,
373,"55.69474657, 37.45651711","Очаковское шоссе, 10к1с2",1,Уточнение не требуется,,,
374,"55.69063251, 37.44985111","Очаковское шоссе, 16с10",1,Уточнение не требуется,,,
375,"55.69080439, 37.45043199","Остановка НГПТ ""Очаковское шоссе, 16""",1,Уточнение не требуется,,,
376,"55.693253, 37.453683","Остановка НГПТ ""Управление механизации""",1,Уточнение не требуется,,,
377,"55.703490, 37.458465",аминьевское шоссе дублёр,2,Уточнение не требуется,,,
379,"55.8025835, 37.73867418",Стадион Локомотив,1,Демонтаж-монтаж,,,
384,"55.70360559, 37.4573895","Остановка НГПТ ""Очаковское шоссе""",1,Уточнение не требуется,,,
385,"55.67075341, 37.51893027","улица Удальцова, 1А",1,Уточнение не требуется,,,
386,"55.67342818, 37.49998359","Остановка НГПТ ""Проспект Вернадского, 53""",1,Уточнение не требуется,,,
388,"55.67469701, 37.46893528","Остановка НГПТ ""Олимпийская деревня""",1,Уточнение не требуется,,,
390,"55.69564343, 37.46523761","Остановка НГПТ ""Метро Аминьевская""",1,Замена на алюминиевую дугу,,,
391,"55.69740985, 37.46414673",Станция метро Аминьевская (вых.7),1,Уточнение не требуется,,,
392,"55.7140042, 37.42243322","Остановка НГПТ ""Рябиновая улица, 14""",1,Уточнение не требуется,,,
396,"55.7279783, 37.44689895",Станция метро Кунцевская (вых. 4),1,Замена на алюминиевую дугу,,,
397,"55.72573533, 37.462837","Славянский бульвар, 13к1",1,Уточнение не требуется,,,
399,"55.7476847, 37.49670972","Большая Филёвская улица, 19/18к1",1,Уточнение не требуется,,,
400,"55.73261284, 37.60484153","улица Крымский Вал, 10с2 (1)",3,Уточнение не требуется,,,
401,"55.73271103, 37.60453783","улица Крымский Вал, 10с2 (2)",1,Уточнение не требуется,,,
406,"55.697416, 37.571256","улица Вавилова, 34",1,Уточнение не требуется,,,
407,"55.767319, 37.665308",Старая Басманная 20к1,1,Замена на алюминиевую дугу,,,
409,"55.645586, 37.489363","Остановка НГПТ ""Улица Островитянова, 2""",1,Уточнение не требуется,,,
411,"55.631882, 37.480262","улица Академика Варги, 40",1,Уточнение не требуется,,,
412,"55.631067, 37.479079","Остановка НГПТ ""Улица Академика Варги, 2""",1,Уточнение не требуется,,,
414,55.6075903 37.52556473,"Остановка НГПТ ""Вильнюсская улица""",1,Уточнение не требуется,,,
415,"55.607716, 37.512743","Остановка НГПТ ""Голубинский лесопарк"" (1)",1,Уточнение не требуется,,,
416,"55.607001, 37.512002","Остановка НГПТ ""Голубинский лесопарк"" (2)",1,Уточнение не требуется,,,
417,"55.602222, 37.512938","Остановка НГПТ ""2-й микрорайон Ясенева""",1,Уточнение не требуется,,,
418,"55.602803, 37.512489","Голубинская улица, 9",1,Уточнение не требуется,,,
420,"55.59975531, 37.52254745","Голубинская улица, 19",1,Уточнение не требуется,,,
421,"55.59932455, 37.52505768","Голубинская улица, 21А",1,Уточнение не требуется,,,
424,"55.590667, 37.538928","Остановка НГПТ ""Проезд Карамзина, 9""",1,Уточнение не требуется,,,
425,"55.591377, 37.545877","Остановка НГПТ ""Улица Инессы Арманд""",1,Уточнение не требуется,,,
426,"55.593607, 37.547433","улица Инессы Арманд, 3с1",1,Уточнение не требуется,,,
427,"55.594795, 37.545708",голубинакая улица,1,Уточнение не требуется,,,
428,"55.594438, 37.546470","Голубинская улица, 32/2",1,Уточнение не требуется,,,
429,"55.595466, 37.541669","Голубинская улица, 28",1,Уточнение не требуется,,,
432,"55.601525, 37.529058","Тарусская улица, 22",1,Уточнение не требуется,,,
433,"55.603365, 37.530349","Тарусская улица, 18к1",1,Уточнение не требуется,,,
434,"55.603102, 37.542132","Новоясеневский проспект, 36",2,Уточнение не требуется,,,
435,"55.602512, 37.541410","Остановка НГПТ ""Улица Паустовского, 1""",1,Уточнение не требуется,,,
437,"55.598440, 37.538178","улица Паустовского, 8к1",1,Уточнение не требуется,,,
440,"55.609788, 37.546618","Остановка НГПТ ""Улица Рокотова, 8""",1,Уточнение не требуется,,,
441,"55.611434, 37.553680","Остановка НГПТ ""Соловьиный проезд, 10""",1,Уточнение не требуется,,,
445,"55.652727, 37.519227","Академика Волгина, 6",1,Уточнение не требуется,,,
447,"55.667222, 37.526210","Воронцовский парк, 2к1с1",1,Уточнение не требуется,,,
448,"55.671443, 37.528627","Ленинский проспект, 95Ас5",1,Уточнение не требуется,,,
449,"55.668541, 37.532034",улица академика пилюгина,1,Уточнение не требуется,,,
450,"55.668458, 37.536925","Академика Пилюгина, 12к1",1,Уточнение не требуется,,,
451,"55.596112, 37.535138","Проезд Карамзина, 1",1,Уточнение не требуется,,,
454,"55.603328, 37.533170","Ясногорская улица, 13к2",1,Уточнение не требуется,,,
456,"55.639088, 37.538977","улица Миклухо-Маклая, 40к1",1,Уточнение не требуется,,,
458,"55.632277, 37.537895","улица Островитянова, 43А",1,Уточнение не требуется,,,
463,"55.680567, 37.578773","Новочерёмушкинская улица, 25",1,Уточнение не требуется,,,
465,"55.689363, 37.600263","Большая Черёмушкинская улица, 1",1,Монтаж старой точки,,,
468,"(55.6914607, 37.4688962)",Большая очаковская 2,1,Уточнение не требуется,,,
469,"55.647098, 37.484210","улица Островитянова, 2Б",1,Уточнение не требуется,,,
470,"55.646967, 37.477980","Ленинский проспект, 123",1,Уточнение не требуется,,,
471,"55.666773, 37.513588","Ленинский проспект, 110к1",1,Уточнение не требуется,,,
478,"55.707032, 37.585070",Станция метро Ленинский проспект (вых. 1),1,Уточнение не требуется,,,
479,"55.706328, 37.578120","Ленинский проспект, 41/2",1,Уточнение не требуется,,,
480,"55.686957, 37.602362","Севастопольский проспект, 12к1",1,Уточнение не требуется,,,
482,"55.678293, 37.597720","улица Ремизова, 3к1",1,Уточнение не требуется,,,
484,"55.678725, 37.532495","улица Гарибальди, 1А",1,Уточнение не требуется,,,
485,"55.677918, 37.535278","улица Гарибальди, 3",1,Уточнение не требуется,,,
486,"55.692657, 37.575608","Черёмушкинский проезд, 1/10",1,Уточнение не требуется,,,
490,"55.601540, 37.552953",Станция метро Новоясеневская (вых. 2),1,Уточнение не требуется,,,
491,"55.602313, 37.549552","Новоясеневский проспект, 19",1,Уточнение не требуется,,,
492,"55.589127, 37.545567","Остановка НГПТ ""Проезд Карамзина""",1,Уточнение не требуется,,,
493,"55.596705, 37.535780","Остановка НГПТ ""Голубинская улица, 24""",1,Уточнение не требуется,,,
494,"55.608742, 37.545110","Литовский бульвар, вл38с1",1,Уточнение не требуется,,,
496,"55.613377, 37.531087","Литовский бульвар, 1",1,Уточнение не требуется,,,
499,"55.646873, 37.516370","улица Миклухо-Маклая, 27А",1,Уточнение не требуется,,,
501,"55.652563, 37.502317","Остановка НГПТ ""Улица Миклухо-Маклая – Университет дружбы народов""",1,Уточнение не требуется,,,
502,"55.651780, 37.548548","улица Обручева, 46",1,Уточнение не требуется,,,
503,"55.650822, 37.556057","улица Обручева, 45",1,Уточнение не требуется,,,
506,"55.653442, 37.567321","Севастопольский проспект, 46к1",1,Уточнение не требуется,,,
507,"55.656114, 37.570925","улица Каховка, 27",1,Уточнение не требуется,,,
508,"55.654042, 37.568715","Севастопольский проспект, 77к1",1,Уточнение не требуется,,,
512,"55.645065, 37.600253","Черноморский бульвар, 17к1",1,Уточнение не требуется,,,
514,"55.663820, 37.607743","Нахимовский проспект, 9А",1,Монтаж старой точки,,,
515,"55.650185, 37.563986","Севастопольский проспект, 54/65",1,Уточнение не требуется,,,
516,"55.609765, 37.520020","Новоясеневский проспект, 12",1,Уточнение не требуется,,,
518,"55.610752, 37.527041","ООТ Литовский бульвар, 6",1,Уточнение не требуется,,,
522,"55.655387, 37.476217","проспект Вернадского, 92к1",1,Уточнение не требуется,,,
526,"55.660453, 37.559360","улица Намёткина, 16с3",1,Уточнение не требуется,,,
528,"55.678475, 37.561752","Нахимовский проспект, 57",1,Уточнение не требуется,,,
529,"55.684812, 37.601075","Севастопольский проспект, 13А",1,Замена на алюминиевую дугу,,,
530,"55.680481, 37.596940",севастопольский проспект,1,Уточнение не требуется,,,
531,"55.675237, 37.591378","Севастопольский проспект, 33",1,Уточнение не требуется,,,
533,"55.667225, 37.594817","Нахимовский проспект, 10",1,Монтаж старой точки,,,
534,"55.663802, 37.605842","Нахимовский проспект, 11к1",1,Монтаж старой точки,,,
536,"55.653002, 37.600685",Станция метро Каховская (вых. 10),1,Уточнение не требуется,,,
537,"55.652832, 37.599643",Станция метро Каховская (вых. 11),1,Уточнение не требуется,,,
538,"55.652297, 37.596573",Станция метро Каховская (вых. 6),2,Уточнение не требуется,,,
539,"55.651493, 37.589737","улица Каховка, 7к1",1,Уточнение не требуется,,,
540,"55.651712, 37.587902","улица Каховка, 6",1,Уточнение не требуется,,,
541,"55.654723, 37.575765","улица Каховка, 21",1,Уточнение не требуется,,,
543,"55.662055, 37.576658","Севастопольский проспект, 28к4",1,Уточнение не требуется,,,
546,"55.619918, 37.543417","Соловьиный проезд, 1",1,Уточнение не требуется,,,
547,"55.625080, 37.542142","Остановка НГПТ ""Спортбаза Узкое""",1,Уточнение не требуется,,,
548,"55.624435, 37.541823","Остановка НГПТ ""Спортбаза Узкое""",1,Уточнение не требуется,,,
549,"55.658097, 37.540902","Профсоюзная улица, 80",1,Уточнение не требуется,,,
550,"55.657707, 37.541708","Профсоюзная улица, 61с1",1,Уточнение не требуется,,,
552,"55.651182, 37.552797","улица Обручева, 33А",1,Уточнение не требуется,,,
553,"55.730062, 37.446942","Остановка НГПТ ""Метро Кунцевская""",1,Уточнение не требуется,,,
554,"55.684638, 37.478728","Остановка НГПТ ""Мичуринский проспект""",1,Уточнение не требуется,,,
556,"55.683530, 37.551313","улица Вавилова, 64/1с7",1,Уточнение не требуется,,,
557,"55.678767, 37.563225","Профсоюзная улица, 26/44",1,Уточнение не требуется,,,
560,"55.675483, 37.570442","Нахимовский проспект, 32",1,Уточнение не требуется,,,
561,"55.664530, 37.601620","Остановка НГПТ ""Московский приборостроительный техникум""",1,Монтаж старой точки,,,
562,"55.670213, 37.448253","Остановка НГПТ  ""Метро Озёрная""",1,Замена на алюминиевую дугу,,,
563,"55.729085, 37.493087","Остановка НГПТ ""Парк Победы""",1,Демонтаж-монтаж,,,
564,"55.723357, 37.497643",Станция метро Минская (вых. 2),1,Замена на алюминиевую дугу,,,
565,"55.723188, 37.498310",Станция МЦД Минская (вых. 3),1,Замена на алюминиевую дугу,,,
566,"55.619753, 37.503342","Остановка НГПТ ""Метро Тёплый Стан""",1,Уточнение не требуется,,,
570,"55.688383, 37.574668",Станция метро Академическая (вых. 8),3,Уточнение не требуется,,,
572,"55.762745, 37.613198","улица Большая Дмитровка, 15",1,Уточнение не требуется,,,
573,"55.763988, 37.612348","улица Большая Дмитровка, 17А",1,Монтаж старой точки,,,
574,"55.767828, 37.606388","улица Малая Дмитровка, 6",1,Монтаж старой точки,,,
575,"55.767673, 37.605708","Настасьинский переулок, 9/5",1,Монтаж старой точки,,,
576,"55.766665, 37.606672","улица Малая Дмитровка, 2",1,Монтаж старой точки,,,
578,"55.760128, 37.593770","улица Спиридоновка, 11с1",1,Уточнение не требуется,,,
579,"55.759077, 37.594783","улица Спиридоновка, 10",1,Уточнение не требуется,,,
584,"55.754090, 37.593792","Поварская улица, 15с1",1,Уточнение не требуется,,,
597,"55.765680, 37.620227",неглинная улица,1,Замена на алюминиевую дугу,,,
599,"55.768820, 37.605770","улица Малая Дмитровка, 11",1,Монтаж старой точки,,,
600,"55.757958, 37.599718","Тверской бульвар, 2",1,Уточнение не требуется,,,
603,"55.762630, 37.602238","Тверской бульвар, 25с7",1,Уточнение не требуется,,,
613,"55.734632, 37.619070","Большая Полянка, 30",1,Уточнение не требуется,,,
614,"55.730385, 37.622757","Большая Полянка, 58",1,Замена на алюминиевую дугу,,,
615,"55.732522, 37.624090","Большая Ордынка, 62с1",1,Уточнение не требуется,,,
616,"55.734317, 37.624388","улица Большая Ордынка, 54с1",1,Уточнение не требуется,,,
617,"55.737803, 37.624222","улица Большая Ордынка, 34с5",1,Уточнение не требуется,,,
618,"55.741929, 37.624927","улица Большая Ордынка, 18А",1,Замена на алюминиевую дугу,,,
619,"55.742727, 37.625063","улица Большая Ордынка, 16",1,Монтаж старой точки,,,
621,"55.763728, 37.603502","Тверской бульвар, 25с7",1,Уточнение не требуется,,,
622,"55.760043, 37.596882","Большая Бронная улица, 2/6",1,Уточнение не требуется,,,
623,"55.760270, 37.596717","Малая Бронная улица, 8с1",1,Уточнение не требуется,,,
625,"55.745892, 37.599610","Гоголевский бульвар, 11",1,Уточнение не требуется,,,
626,"55.748348, 37.599677","Гоголевский бульвар, 25с1",1,Уточнение не требуется,,,
627,"55.744188, 37.607452","Остановка НГПТ ""Пречистенская набережная""",1,Замена на алюминиевую дугу,,,
630,"55.767402, 37.612238","Страстной бульвар, 14/16",1,Монтаж старой точки,,,
631,"55.742352, 37.599506","улица Остоженка, 12/1с3",1,Уточнение не требуется,,,
632,"55.746138, 37.605188","Остановка НГПТ ""Метро Кропоткинская – Музей изобразительных искусств имени Пушкина""",1,Замена на алюминиевую дугу,,,
633,"55.747318, 37.607393","улица Волхонка, 10",1,Замена на алюминиевую дугу,,,
635,"55.741736, 37.614367","Большая Якиманка, 1",1,Уточнение не требуется,,,
636,"55.742048, 37.615547","Большая Полянка, 2/10с1",1,Уточнение не требуется,,,
637,"55.741312, 37.615827","Большая Полянка, 4/10",1,Уточнение не требуется,,,
638,"55.739322, 37.615677","Остановка НГПТ ""Большая Якиманка""",1,Уточнение не требуется,,,
639,"55.736365, 37.613668","Большая Якиманка, 26",1,Уточнение не требуется,,,
640,"55.732409, 37.611959","улица Большая Якиманка, 46с1",1,Уточнение не требуется,,,
641,"55.738083, 37.615680","Большая Якиманка, 17/2с1",1,Уточнение не требуется,,,
642,"55.739492, 37.617205","Большая Полянка, 13с1",1,Уточнение не требуется,,,
643,"55.790802, 37.590352","Новослободская улица, 62к1",1,Замена на алюминиевую дугу,,,
644,"55.753793, 37.656398","Земляной Вал, 41с1",1,Замена на алюминиевую дугу,,,
645,"55.753911, 37.657048","Долгоруковская улица, 2",1,Замена на алюминиевую дугу,,,
649,"55.790833, 37.590635","Новослободская улица, 62к1",1,Замена на алюминиевую дугу,,,
659,"55.781777, 37.598613","Новослободская улица, 23",1,Уточнение не требуется,,,
664,"55.790737, 37.590753","Новослободская улица, 62к2",1,Замена на алюминиевую дугу,,,
668,"55.754355, 37.648369","Покровский бульвар, 11с9",1,Монтаж старой точки,,,
674,"55.759660, 37.647867","улица Покровка, 25",1,Замена на алюминиевую дугу,,,
677,"55.781225, 37.598195","Новослободская улица, 14с2",1,Уточнение не требуется,,,
678,"55.736367, 37.640057","Садовническая набережная, 75",1,Уточнение не требуется,,,
